,isim,yıl,süre,kategori,oy
832,Trois couleurs: Blanc,1994,92,"Comedy, Drama, Romance            ",7.6
833,Sholay,1975,204,"Action, Adventure, Comedy            ",8.2
834,Le passé,2013,130,"Drama, Mystery            ",7.8
835,Kakushi-toride no san-akunin,1958,139,"Adventure, Drama            ",8.1
836,Gilda,1946,110,"Drama, Film-Noir, Romance            ",7.7
837,Du rififi chez les hommes,1955,118,"Crime, Drama, Thriller            ",8.1
838,Efter brylluppet,2006,120,Drama            ,7.7
839,Out of the Past,1947,97,"Crime, Drama, Film-Noir            ",8.0
840,Vikram Vedha,2017,147,"Action, Crime, Drama            ",8.4
841,Amarcord,1973,123,"Comedy, Drama            ",7.9
842,Scarface: The Shame of the Nation,1932,93,"Action, Crime, Drama            ",7.8
843,Mar adentro,2004,126,"Biography, Drama            ",8.0
844,Wait Until Dark,1967,108,Thriller            ,7.8
845,Lilja 4-ever,2002,109,"Crime, Drama            ",7.8
846,Tôkyô monogatari,1953,136,Drama            ,8.2
847,Arsenic and Old Lace,1942,118,"Comedy, Crime, Thriller            ",8.0
848,Shine,1996,105,"Biography, Drama, Music            ",7.7
849,Tropa de Elite,2007,115,"Action, Crime, Drama            ",8.0
850,Cape Fear,1962,106,"Drama, Thriller            ",7.7
851,Ôkami kodomo no Ame to Yuki,2012,117,"Animation, Drama, Fantasy            ",8.1
852,The Invisible Man,1933,71,"Horror, Sci-Fi            ",7.7
853,Vozvrashchenie,2003,110,Drama            ,8.0
854,Laura,1944,88,"Drama, Film-Noir, Mystery            ",8.0
855,Le salaire de la peur,1953,131,"Adventure, Drama, Thriller            ",8.1
856,Kumonosu-jo,1957,110,"Drama, History            ",8.1
857,Persepolis,2007,96,"Animation, Biography, Drama            ",8.0
858,Viskningar och rop,1972,91,Drama            ,8.1
859,Duck Soup,1933,69,"Comedy, Musical, War            ",7.8
860,Il postino,1994,108,"Biography, Comedy, Drama            ",7.7
861,The Lunchbox,2013,104,"Drama, Romance            ",7.8
862,Cowboy Bebop: Tengoku no tobira,2001,115,"Animation, Action, Crime            ",7.9
863,In a Lonely Place,1950,94,"Drama, Film-Noir, Mystery            ",8.0
864,Au revoir les enfants,1987,104,"Drama, War            ",8.0
865,Eskiya,1996,128,"Crime, Drama, Thriller            ",8.2
866,Le notti di Cabiria,1957,110,Drama            ,8.1
867,Hævnen,2010,118,"Drama, Romance            ",7.6
868,Peeping Tom,1960,101,"Drama, Horror, Thriller            ",7.7
869,Mustang,2015,97,Drama            ,7.6
870,Das Experiment,2001,120,"Drama, Thriller            ",7.7
871,Les triplettes de Belleville,2003,80,"Animation, Comedy, Drama            ",7.8
872,The Thin Man,1934,91,"Comedy, Crime, Mystery            ",8.0
873,Rang De Basanti,2006,167,"Comedy, Crime, Drama            ",8.2
874,My Name Is Khan,2010,165,Drama            ,8.0
875,Down by Law,1986,107,"Comedy, Crime, Drama            ",7.8
876,Tôkyô goddofâzâzu,2003,90,"Animation, Adventure, Comedy            ",7.9
877,Vivre sa vie: Film en douze tableaux,1962,80,Drama            ,8.0
878,Omohide poro poro,1991,118,"Animation, Drama, Romance            ",7.6
879,Brief Encounter,1945,86,"Drama, Romance            ",8.0
880,Ivanovo detstvo,1962,95,"Drama, War            ",8.1
881,The Lady Vanishes,1938,96,"Mystery, Thriller            ",7.8
882,Ace in the Hole,1951,111,"Drama, Film-Noir            ",8.1
883,Bronenosets Potemkin,1925,75,"Drama, History, Thriller            ",8.0
884,To Be or Not to Be,1942,99,"Comedy, War            ",8.2
885,Ayla: The Daughter of War,2017,125,"Biography, Drama, History            ",8.4
886,Le charme discret de la bourgeoisie,1972,102,Comedy            ,7.9
887,Vampire Hunter D: Bloodlust,2000,103,"Animation, Action, Fantasy            ",7.7
888,The Red Shoes,1948,135,"Drama, Music, Romance            ",8.1
889,The Taking of Pelham One Two Three,1974,104,"Action, Crime, Thriller            ",7.7
890,Il conformista,1970,113,Drama            ,8.0
891,Gully Boy,2019,154,"Drama, Music, Romance            ",8.0
892,The Broken Circle Breakdown,2012,111,"Drama, Music, Romance            ",7.7
893,K.G.F: Chapter 1,2018,156,"Action, Drama            ",8.2
894,Huo Yuan Jia,2006,104,"Action, Biography, Drama            ",7.6
895,Kal Ho Naa Ho,2003,186,"Comedy, Drama, Musical            ",7.9
896,Red River,1948,133,"Action, Adventure, Drama            ",7.8
897,Rupan sansei: Kariosutoro no shiro,1979,100,"Animation, Action, Adventure            ",7.7
898,Ondskan,2003,113,Drama            ,7.8
899,Crimes and Misdemeanors,1989,104,"Comedy, Drama            ",7.9
900,Lifeboat,1944,97,"Drama, War            ",7.6
901,The General,1926,67,"Action, Adventure, Comedy            ",8.1
902,Bir Zamanlar Anadolu'da,2011,157,"Crime, Drama            ",7.9
903,Jules et Jim,1962,105,"Drama, Romance            ",7.8
904,Les choristes,2004,97,"Comedy, Drama, Music            ",7.9
905,Babam ve Oglum,2005,108,"Drama, Family            ",8.3
906,Sleuth,1972,138,"Mystery, Thriller            ",8.0
907,Ba wang bie ji,1993,171,"Drama, Music, Romance            ",8.1
908,Toki o kakeru shôjo,2006,98,"Animation, Adventure, Comedy            ",7.7
909,Bajrangi Bhaijaan,2015,163,"Action, Adventure, Comedy            ",8.0
910,Les diaboliques,1955,117,"Crime, Drama, Horror            ",8.0
911,Interstate 60: Episodes of the Road,2002,116,"Adventure, Comedy, Drama            ",7.7
912,Lat sau san taam,1992,128,"Action, Crime, Thriller            ",7.8
913,No Man's Land,2001,98,"Comedy, Drama, War            ",7.9
914,Sunrise: A Song of Two Humans,1927,94,"Drama, Romance            ",8.1
915,Darbareye Elly,2009,119,"Drama, Mystery            ",8.0
916,Kind Hearts and Coronets,1949,106,"Comedy, Crime            ",8.0
917,In America,2002,105,Drama            ,7.7
918,Dà hóng denglong gaogao guà,1991,125,"Drama, History, Romance            ",8.1
919,The Lost Weekend,1945,101,"Drama, Film-Noir            ",7.9
920,Okuribito,2008,130,"Drama, Music            ",8.1
921,Joyeux Noël,2005,116,"Drama, History, Music            ",7.7
922,The Gold Rush,1925,95,"Adventure, Comedy, Drama            ",8.2
923,"Crna macka, beli macor",1998,127,"Comedy, Crime, Romance            ",8.1
924,"4 luni, 3 saptamâni si 2 zile",2007,113,Drama            ,7.9
925,Rockstar,2011,159,"Drama, Music, Romance            ",7.7
926,Hana-bi,1997,103,"Crime, Drama, Romance            ",7.8
927,Kokuhaku,2010,106,"Drama, Thriller            ",7.8
928,Lagaan: Once Upon a Time in India,2001,224,"Drama, Musical, Sport            ",8.1
929,Celda 211,2009,113,"Action, Adventure, Crime            ",7.6
930,La passion de Jeanne d'Arc,1928,110,"Biography, Drama, History            ",8.1
931,Queen,2013,146,"Adventure, Comedy, Drama            ",8.2
932,Dare mo shiranai,2004,141,Drama            ,8.1
933,Sherlock Jr.,1924,45,"Action, Comedy, Romance            ",8.2
934,Yeopgijeogin geunyeo,2001,137,"Comedy, Drama, Romance            ",8.0
935,Baahubali 2: The Conclusion,2017,167,"Action, Drama            ",8.2
936,The Purple Rose of Cairo,1985,82,"Comedy, Fantasy, Romance            ",7.7
937,El ángel exterminador,1962,95,"Drama, Fantasy            ",8.1
938,L'avventura,1960,144,"Drama, Mystery, Romance            ",7.9
939,Jungfrukällan,1960,89,Drama            ,8.1
940,Dil Chahta Hai,2001,183,"Comedy, Drama, Romance            ",8.1
941,Hiroshima mon amour,1959,90,"Drama, Romance            ",7.9
942,Dip huet seung hung,1989,111,"Action, Crime, Drama            ",7.8
943,Kahaani,2012,122,"Mystery, Thriller            ",8.1
944,Chhichhore,2019,143,"Comedy, Drama            ",8.2
945,Sweet Smell of Success,1957,96,"Drama, Film-Noir            ",8.0
946,Miracle on 34th Street,1947,96,"Comedy, Drama, Family            ",7.9
947,Udaan,2010,134,Drama            ,8.2
948,Talvar,2015,132,"Crime, Drama, Mystery            ",8.2
949,Munna Bhai M.B.B.S.,2003,156,"Comedy, Drama            ",8.1
950,Uri: The Surgical Strike,2018,138,"Action, Drama, War            ",8.2
951,Gongdong gyeongbi guyeok JSA,2000,110,"Action, Drama, Thriller            ",7.8
952,Anand,1971,122,"Drama, Musical            ",8.3
953,Nueve reinas,2000,114,"Crime, Drama, Thriller            ",7.9
954,The Magdalene Sisters,2002,114,Drama            ,7.7
955,Haider,2014,160,"Action, Crime, Drama            ",8.1
956,La Grande Illusion,1937,113,"Drama, War            ",8.1
957,Hera Pheri,2000,156,"Action, Comedy, Crime            ",8.2
958,Barfi!,2012,151,"Comedy, Drama, Romance            ",8.1
959,Dilwale Dulhania Le Jayenge,1995,189,"Drama, Romance            ",8.1
960,Central do Brasil,1998,110,Drama            ,8.0
961,The Shop Around the Corner,1940,99,"Comedy, Drama, Romance            ",8.1
962,Badhaai ho,2018,124,"Comedy, Drama            ",8.0
963,A Night at the Opera,1935,96,"Comedy, Music, Musical            ",7.9
964,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,"Action, Crime, Drama            ",8.0
965,White Heat,1949,114,"Action, Crime, Drama            ",8.1
966,Zelig,1983,79,Comedy            ,7.7
967,Love and Death,1975,85,"Comedy, War            ",7.7
968,Baby,2015,159,"Action, Thriller            ",8.0
969,Veer-Zaara,2004,192,"Drama, Family, Musical            ",7.8
970,Jab We Met,2007,138,"Comedy, Drama, Romance            ",7.9
971,Sanjuro,1962,96,"Action, Comedy, Crime            ",8.1
972,La règle du jeu,1939,110,"Comedy, Drama            ",8.0
973,Le dîner de cons,1998,80,Comedy            ,7.7
974,Knockin' on Heaven's Door,1997,87,"Action, Crime, Comedy            ",8.0
975,A Wednesday,2008,104,"Action, Crime, Drama            ",8.1
976,The Circus,1928,72,"Comedy, Romance            ",8.1
977,Special Chabbis,2013,144,"Crime, Drama, Thriller            ",8.0
978,Taegukgi hwinalrimyeo,2004,140,"Action, Drama, War            ",8.1
979,Raazi,2018,138,"Action, Drama, Thriller            ",7.8
980,Chak De! India,2007,153,"Drama, Family, Sport            ",8.2
981,C.R.A.Z.Y.,2005,129,"Comedy, Drama            ",7.9
982,Andaz Apna Apna,1994,160,"Action, Comedy, Romance            ",8.2
983,Udta Punjab,2016,148,"Action, Crime, Drama            ",7.8
984,Auf der anderen Seite,2007,122,Drama            ,7.8
985,Dev.D,2009,144,"Drama, Romance            ",8.0
986,Paan Singh Tomar,2012,135,"Action, Biography, Crime            ",8.2
987,The Muppet Christmas Carol,1992,85,"Comedy, Drama, Family            ",7.7
988,English Vinglish,2012,134,"Comedy, Drama, Family            ",7.8
989,Vizontele,2001,110,"Comedy, Drama            ",8.0
990,Airlift,2016,130,"Drama, History            ",8.0
991,G.O.R.A.,2004,127,"Adventure, Comedy, Sci-Fi            ",8.0
992,Bhaag Milkha Bhaag,2013,186,"Biography, Drama, Sport            ",8.2
993,Kai po che!,2013,130,"Drama, Sport            ",7.7
994,OMG: Oh My God!,2012,125,"Comedy, Drama, Fantasy            ",8.1
995,M.S. Dhoni: The Untold Story,2016,184,"Biography, Drama, Sport            ",7.8
996,Lage Raho Munna Bhai,2006,144,"Comedy, Drama, Romance            ",8.1
997,Vicky Donor,2012,126,"Comedy, Romance            ",7.8
998,Nefes: Vatan Sagolsun,2009,128,"Action, Drama, Thriller            ",8.0
999,Black,2005,122,Drama            ,8.2
